======================================================================
2-Layer CTI Synthetic Validation
======================================================================
K=20, d=512, n_per_class=500
Kappa range: [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 3.0]
K_eff levels: [0.0, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]
A_preregistered = 1.1284

  kappa=0.3, keff_lv=0.0, K_eff=1.0, q=0.937, logit=2.700, pred_2L=0.339
  kappa=1.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=1.390
  kappa=1.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=1.798
  kappa=1.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=1.798
  kappa=1.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=1.798
  kappa=1.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=2.497
  kappa=1.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=2.497
  kappa=1.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=2.497
  kappa=1.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=3.750
  kappa=1.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=8.466, pred_2L=3.750
  kappa=1.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=3.750
  kappa=1.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=4.918
  kappa=1.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=8.466, pred_2L=4.918
  kappa=1.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=4.918
  kappa=1.5, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=1.693
  kappa=1.5, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=1.693
  kappa=1.5, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=1.693
  kappa=1.5, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=1.869
  kappa=1.5, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=1.869
  kappa=1.5, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=1.869
  kappa=1.5, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.085
  kappa=1.5, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.085
  kappa=1.5, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.085
  kappa=1.5, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=2.698
  kappa=1.5, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=2.698
  kappa=1.5, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=2.698
  kappa=1.5, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=3.745
  kappa=1.5, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=3.745
  kappa=1.5, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=3.745
  kappa=1.5, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=5.625
  kappa=1.5, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=5.625
  kappa=1.5, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=5.625
  kappa=1.5, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=7.378
  kappa=1.5, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=7.378
  kappa=1.5, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=7.378
  kappa=2.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=2.257
  kappa=2.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=2.257
  kappa=2.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=2.257
  kappa=2.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=2.492
  kappa=2.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=2.492
  kappa=2.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=2.492
  kappa=2.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.780
  kappa=2.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.780
  kappa=2.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=2.780
  kappa=2.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=3.597
  kappa=2.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=3.597
  kappa=2.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=3.597
  kappa=2.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=4.994
  kappa=2.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=4.994
  kappa=2.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=4.994
  kappa=2.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=7.501
  kappa=2.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=7.501
  kappa=2.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=7.501
  kappa=2.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=9.837
  kappa=2.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=9.837
  kappa=2.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=9.837
  kappa=3.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=3.385
  kappa=3.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=3.385
  kappa=3.0, keff_lv=0.0, K_eff=1.0, q=1.000, logit=13.816, pred_2L=3.385
  kappa=3.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=3.738
  kappa=3.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=3.738
  kappa=3.0, keff_lv=0.1, K_eff=1.2, q=1.000, logit=13.816, pred_2L=3.738
  kappa=3.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=4.170
  kappa=3.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=4.170
  kappa=3.0, keff_lv=0.2, K_eff=1.5, q=1.000, logit=13.816, pred_2L=4.170
  kappa=3.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=5.395
  kappa=3.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=5.395
  kappa=3.0, keff_lv=0.4, K_eff=2.5, q=1.000, logit=13.816, pred_2L=5.395
  kappa=3.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=7.491
  kappa=3.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=7.491
  kappa=3.0, keff_lv=0.6, K_eff=4.9, q=1.000, logit=13.816, pred_2L=7.491
  kappa=3.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=11.251
  kappa=3.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=11.251
  kappa=3.0, keff_lv=0.8, K_eff=11.0, q=1.000, logit=13.816, pred_2L=11.251
  kappa=3.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=14.755
  kappa=3.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=14.755
  kappa=3.0, keff_lv=1.0, K_eff=19.0, q=1.000, logit=13.816, pred_2L=14.755

======================================================================
ANALYSIS
======================================================================

2-layer model (logit = A*kappa*sqrt(K_eff) + C):
  R2 = 0.1250
  Pearson r = 0.4173
  Fitted C = 7.6153

1-layer model (logit = A*kappa*sqrt(d_eff) + C):
  R2 = -0.2603
  Pearson r = 0.3912
  Fitted C = 5.9993

--- K_eff variation at kappa=1.0 ---
  Pearson r(K_eff, logit_q) at kappa=1.0: -0.4724

--- kappa variation at keff_level=0.5 ---

SUMMARY:
  2-layer R2 = 0.1250 vs 1-layer R2 = -0.2603
  2-layer WINS

Saved to results/cti_2layer_synthetic.json
